area,units_per_area,txmonth,number_in_area,tariff
DEERLODGE 54 SHERWOOD,358.5,Nov-24,1,Domestic
GOEDVERWACHT 29,146.9,Nov-24,1,Domestic
DARLING 20 BEACONHILL,154.2,Nov-24,1,Domestic
ROME GLEN,2542.6,Nov-24,1,Small Power 1
PROTEA STR 10 PROTEA PARK,369.5,Nov-24,1,Lifeline2
ACACIA 36A PROTEA PARK,240.6,Nov-24,1,Domestic
33 LEEUBEKKIE CRES,191.4,Nov-24,1,Domestic
HOMERIA CLS 6 PROTEA PARK,431.2,Nov-24,1,Lifeline2
FORESHORE,17914,Nov-24,8,Small Power 1
VREDEKLOOF,4117.3,Nov-24,15,Lifeline2
AKKERBOOMLAAN 22,529,Nov-24,1,Domestic
BLACKBIRD AVE,451.8,Nov-24,4,Lifeline1
DURHEIM,534.9,Nov-24,2,Lifeline1
AVE DR ABDURAHMAN,933.7,Nov-24,2,Lifeline2
ORANGE RD,221.6,Nov-24,2,Domestic
57 DLEPHU RD,184.6,Nov-24,1,Lifeline2
MANNA LANE 16,241.3,Nov-24,1,Lifeline2
UN NAMED ROAD 12,237.5,Nov-24,1,Lifeline2
65 MERRIGOLD CRES,251.8,Nov-24,1,Lifeline2
ZEVENWACHT FARM VILLAGE,5488.2,Nov-24,19,Home
LANGEBERG,1714.8,Nov-24,6,Home
CAPE FARMS - DISTRIT B,1739.7,Nov-24,1,Small Power 2
MANENBERG  ,330.3,Nov-24,2,Lifeline1
SPRINGBOK PARK,3775,Nov-24,10,Small Power 2
MISTY CLIFFS,9709.3,Nov-24,15,Home
BADSBERG,2406.5,Nov-24,7,Home
VREDEKLOOF HEIGHTS,2187.9,Nov-24,12,Domestic
NKELEKETHE ST,148.2,Nov-24,1,Lifeline1
KILPFONTEIN C/O 1ST AVE,252.2,Nov-24,1,Home
AZALEA 15 PROTEA PARK,252.7,Nov-24,1,Lifeline2
9 TOKAI COURT,407.9,Nov-24,1,Domestic
MAITLAND GARDEN VILLAGE,1452,Nov-24,9,Lifeline1
HERONS 4 ROBINVALE,299.4,Nov-24,1,Lifeline1
DESMOND TUTU ST,962.6,Nov-24,3,Lifeline2
BROWNS FARM PHILIPPI,732,Nov-24,3,Lifeline2
TYGERBERGSTRAAT     GOODWOOD,371.2,Nov-24,1,Home
THORN LANE 118,340,Nov-24,1,Lifeline2
ATLANTIS INDUSTRIAL,16290.5,Nov-24,3,Small Power 1
SANDOWN ESTATE,3887.2,Nov-24,5,Home
RETREAT ,380.3,Nov-24,2,Lifeline1
THORNE LANE 11,240.5,Nov-24,1,Lifeline1
AIRLIE,15139.1,Nov-24,21,Home
KLEINBRON,2593.8,Nov-24,7,Domestic
YBATHANDWA MDINGI CRE S,35.8,Nov-24,1,Domestic
THE LAKES,10132.4,Nov-24,23,Home
EXT 12,649.1,Nov-24,3,Lifeline2
EDINBURGH 18 SAXONSEA,507.2,Nov-24,1,Domestic
MANNENBERG,429.1,Nov-24,1,Domestic
ACACIA 20B PROTEA PARK,193.3,Nov-24,1,Domestic
WINDSOR 9 EXT13 SAXONSEA,260.1,Nov-24,1,Lifeline2
ORCHID 25 PROTEA PARK,255.9,Nov-24,1,Lifeline2
MANNA 60 LAAN,239.1,Nov-24,1,Lifeline2
HARDEKRAALTJIE,13377.7,Nov-24,2,Small Power 1
C/O MONTAGUE AND PAROW RDS,678.3,Nov-24,3,Home
GREEN POINT,4636.8,Nov-24,17,Lifeline2
CONSTANTIA VILLAGE,18271.9,Nov-24,22,Home
FAIRVIEW GOLF ESTATE,2157.3,Nov-24,6,Lifeline2
MAIN RD,620,Nov-24,2,Domestic
EVERSDALE     BELLVILLE,8349,Nov-24,11,Home
MAGNET 58 SAXONSEA,340.9,Nov-24,1,Domestic
PEERS HILL,245.8,Nov-24,1,Domestic
Scottsdene ,393.9,Nov-24,3,Lifeline1
GRANNY FLAT,1731.4,Nov-24,6,Home
ROSEBANK,9073.8,Nov-24,3,Small Power 1
MONTREAL 48 BEACONHILL,77.6,Nov-24,1,Domestic
BERZELIA 39 PROTEA PARK,407.1,Nov-24,1,Lifeline2
LYSTER 84 ROBINVALE,79.2,Nov-24,1,Domestic
3 LEEUBEKKIE CRES,411,Nov-24,1,Domestic
HEATHFIELD 74 PROTEAPARK,470.1,Nov-24,1,Lifeline2
DISA CLOSE 3,412.4,Nov-24,1,Domestic
TOKAI COURT 4,247.7,Nov-24,1,Domestic
GERSHAM,1367.5,Nov-24,6,Lifeline1
PAROW NORTH,3085,Nov-24,14,Lifeline1
ROZETTA 13,35.5,Nov-24,1,Domestic
ATHLONE NORTH,1038.6,Nov-24,8,Lifeline1
ALBATROSS 36 ROBINVALE,108.7,Nov-24,1,Domestic
SOPHIA 11  EXT13 SAXONSEA,255.6,Nov-24,1,Domestic
FLORIDA,4171.2,Nov-24,2,Small Power 2
HELDERBERG PARK,1648.7,Nov-24,5,Lifeline2
122 RARABE ST,158.6,Nov-24,1,Domestic
25 ABELIA ST,502.6,Nov-24,1,Domestic
SALAMANDER ROAD,466.5,Nov-24,1,Domestic
VALLEYFIELD 9 EXT13 S/SEA,335.7,Nov-24,1,Lifeline2
WINDSOR PARK ESTATE,2423.8,Nov-24,8,Domestic
JEFF MASEMOLA,314.9,Nov-24,1,Lifeline2
LEANDER 4 AVONDALE,300,Nov-24,1,Lifeline2
BABBLERS 8,241.2,Nov-24,1,Lifeline2
VALLEYFIELD 15 EXT13 SSEA,288,Nov-24,1,Domestic
SHASTA 12 EXT 12,333,Nov-24,1,Domestic
LARKSPUR 29 PROTEA PARK,415.8,Nov-24,1,Domestic
LAKEMAN 5 AVONDALE,239.1,Nov-24,1,Lifeline2
SHARON DE FLEUR,3474.5,Nov-24,8,Home
THORN LANE24,949.6,Nov-24,1,Domestic
THORNE LANE 8,247.5,Nov-24,1,Lifeline2
WALMER WALK,293.7,Nov-24,1,Lifeline2
DAWN RD,310.4,Nov-24,1,Lifeline2
GARLANDALE EST,1672.2,Nov-24,2,Home
ERIJAVILLE,286.6,Nov-24,1,Lifeline1
SEAFORTH BEACH,2667.1,Nov-24,5,Domestic
Scottsdene,326.9,Nov-24,2,Lifeline2
TUSCANY GLEN,620.2,Nov-24,5,Lifeline2
NEW CROSSROADS,803.1,Nov-24,4,Lifeline1
GOEDEHOOP 71 SAXONSEA,323.1,Nov-24,1,Lifeline2
VILLAGE 2B - KHAYELITSHA,1051.4,Nov-24,9,Lifeline2
FALCON 24 ROBINVALE,136.5,Nov-24,1,Lifeline1
HOOSAIN PARKER ST,472.2,Nov-24,3,Lifeline2
HAZENDAL EST,293.1,Nov-24,2,Domestic
LARKSPLACE 11 ROBINVALE,230.6,Nov-24,1,Lifeline2
115 DAISY ST,126,Nov-24,1,Lifeline1
BALSEMINE 16 PROTEA PARK,335.6,Nov-24,1,Lifeline2
NIMROD 30 SAXONSEA,207.5,Nov-24,1,Lifeline2
GREEN POINT ,3973.1,Nov-24,14,Home
11 GOBOZANA RD,135.5,Nov-24,1,Lifeline1
PHASE 5,542,Nov-24,6,Lifeline2
LEIDEN,448.1,Nov-24,2,Lifeline2
UMNGA CRES,650.3,Nov-24,3,Domestic
KOMMETJIE,12306.8,Nov-24,5,Small Power 1
RWANTSIANA RD BROWNS FARM,282.4,Nov-24,1,Lifeline1
OAKDALE(2),4191.5,Nov-24,14,Lifeline2
SACRAMENTO 86 EXT13 S/SEA,257.9,Nov-24,1,Lifeline2
HARDEKRAALTJIE,1332.6,Nov-24,7,Lifeline1
KNYSNA RD,234.8,Nov-24,1,Lifeline2
HARBOUR RD,337.1,Nov-24,1,Domestic
MILLDENE ST 120     RAVENSMEAD,132.6,Nov-24,1,Domestic
RYANSTR     PAROW,612.8,Nov-24,4,Lifeline2
GORDON'S BAY CENTRAL,1204.4,Nov-24,5,Domestic
PEARLMANSION 15,437.2,Nov-24,1,Lifeline2
LUSTHOF,5434.4,Nov-24,12,Home
LANGLAAN 56,153.7,Nov-24,1,Lifeline1
CHRISMAR,1428,Nov-24,3,Small Power 2
PLATTEKLOOF,2831.8,Nov-24,9,Domestic
LYSTER 62 ROBINVALE,152.9,Nov-24,1,Lifeline1
LOUMAR,2474,Nov-24,2,Small Power 2
GROSVENOR 274,589.7,Nov-24,1,Domestic
HOSTEL 2 PHASE 2,994.5,Nov-24,10,Lifeline1
KENSINGTON ,1798.4,Nov-24,4,Home
SACRAMENTO 40 EXT13 S/SEA,403.1,Nov-24,1,Domestic
VREDENBERG,3886.6,Nov-24,10,Lifeline2
BAY PARK,3779.5,Nov-24,10,Home
LORD CALEDONSTRAAT 30,384.2,Nov-24,1,Lifeline2
RENDELSHAM RD,407,Nov-24,1,Lifeline2
3 LILY ST,55.9,Nov-24,1,Lifeline2
MARIGOLD 15 PROTEA PARK,446.9,Nov-24,1,Domestic
HOOP 37 EXT13 SAXONSEA,432.1,Nov-24,1,Lifeline2
FAIRFIELD 46 SAXONSEA,294.5,Nov-24,1,Domestic
MAGNET 22 SAXONSEA,631.4,Nov-24,1,Domestic
ERF 49238,192.7,Nov-24,1,Lifeline2
PARKWOOD EST,503,Nov-24,3,Domestic
DE LA HAYE,1958.9,Nov-24,7,Lifeline2
BEGONIA CIRCLE 33,751.9,Nov-24,1,Domestic
28 SPRIGGS ST,222.8,Nov-24,1,Domestic
PROTEA HOOGTE,2511.3,Nov-24,4,Small Power 2
HOOP 11 EXT13 SAXONSEA,170.3,Nov-24,1,Domestic
ATLANTIC HEIGHTS,101.5,Nov-24,1,Domestic
ELIZABETH 12 SAXONSEA,45.6,Nov-24,1,Domestic
WINKEL 4,371.9,Nov-24,2,Small Power 2
MASIPHUMELELE,3676.4,Nov-24,3,Small Power 2
DYUSHU ST,327.1,Nov-24,1,Lifeline2
KERRIA 60 PROTEA PARK,591.1,Nov-24,1,Domestic
BLOUKRANS WEG,262.8,Nov-24,1,Domestic
ASANDA VILLAGE     LWANDLE,498.8,Nov-24,4,Lifeline2
NEWFIELDS EST,686.9,Nov-24,2,Home
ORANJEZICHT,2072.9,Nov-24,9,Lifeline1
EXT 12,250.8,Nov-24,1,Lifeline1
LUYOLOVILLE,231,Nov-24,2,Lifeline1
FAIRWAYS,2758.6,Nov-24,10,Lifeline1
KHAYALETU PARK,1113.1,Nov-24,3,Domestic
COSMOS STR 16 PROTEA PARK,266.2,Nov-24,1,Lifeline2
ZEELAND 34 EXT13 SAXONSEA,348.1,Nov-24,1,Lifeline2
VILLAGE 2A,189.2,Nov-24,1,Domestic
NIGHTINGALE 31 AVONDALE,329.8,Nov-24,1,Domestic
GAZONIA 39 PROTEA PARK,277,Nov-24,1,Lifeline2
RONDEBOSCH EAST,2214.2,Nov-24,12,Lifeline1
WITTEBOOMEN,8849.9,Nov-24,10,Home
VALMARY PARK     DURBANVILLE,14431.3,Nov-24,17,Home
CONSTANTIA,4991.8,Nov-24,10,Lifeline1
 IKWEZI PARK,182.3,Nov-24,1,Domestic
BRAM FISCHER,675,Nov-24,2,Lifeline2
PALMER AVE 27 AVONDALE,339.7,Nov-24,1,Lifeline2
NTSHATSHONGA ST,811.4,Nov-24,3,Lifeline2
OLYF LAAN 63,280.9,Nov-24,1,Lifeline2
RHODE CRES,285.1,Nov-24,1,Lifeline2
BELLVILLE SOUTH EXT.5,2544.7,Nov-24,8,Small Power 2
HIGHBURYPARK,1168.4,Nov-24,5,Domestic
4 SILESIA WAY,176.7,Nov-24,1,Domestic
BELLVILLE WEST,1207.6,Nov-24,7,Lifeline2
GAZONIA 65 PROTEA PARK,127.6,Nov-24,1,Lifeline1
SPRINGBOKPARK,2844.3,Nov-24,8,Small Power 2
ERF 9471     MFULENI,393.8,Nov-24,1,Lifeline2
EST 3     MFULENI,155.1,Nov-24,1,Lifeline2
FRAAIGELEGEN,4971.8,Nov-24,11,Home
ERF 7714     MFULENI,854.7,Nov-24,1,Domestic
CANARA 22 SHERWOOD,270.5,Nov-24,1,Domestic
13 LILY ST,136.5,Nov-24,1,Domestic
CAREY PARKES,181.6,Nov-24,1,Lifeline1
BENGAL 37 AVONDALE,277.6,Nov-24,1,Domestic
GROENKOP 5 SHERWOOD,384.4,Nov-24,1,Lifeline2
BELLVILLE EXT.43,6876.1,Nov-24,10,Home
JAGTERSHOF,6928.4,Nov-24,5,Small Power 2
CHURCH HILL     PAROW,2852.1,Nov-24,8,Home
Churchill Estate,253.1,Nov-24,1,Home
MARINA DA GAMA,2674.9,Nov-24,14,Lifeline1
HARFIELD VILLAGE,2068.8,Nov-24,8,Home
EMAZIZINI RD,753.4,Nov-24,5,Lifeline1
CONISTON PARK,5310.1,Nov-24,1,Small Power 1
BARLERIA 31 PROTEA PARK,381.4,Nov-24,1,Domestic
TULIP 2 PROTEA PARK,396.2,Nov-24,1,Lifeline1
SALAMANDER ST,247.3,Nov-24,1,Lifeline2
SALAAM,933.8,Nov-24,1,Domestic
LANTANA 33 PROTEA PARK,263.3,Nov-24,1,Lifeline1
SCHUYLENBURG 25 SAXONSEA,219.9,Nov-24,1,Lifeline2
BABBLERS 18 ROBINVALE,280.1,Nov-24,1,Domestic
LANGA,4811.6,Nov-24,2,Small Power 1
LANDSDOWNE,339.6,Nov-24,1,Lifeline2
LAKEVIEW MEADOWS,288.4,Nov-24,1,Domestic
38 SHEIGH HASSAN,742.3,Nov-24,1,Domestic
ROODE VOS ROAD,194.7,Nov-24,1,Lifeline2
ATLANTIC VILLAGE,363.1,Nov-24,2,Lifeline1
ROYAL GEORGE 11 EXT13 SEA,306.1,Nov-24,1,Lifeline2
JONKERSHOEK RD,734.8,Nov-24,1,Domestic
DARLING 11 BEACONHILL,335.5,Nov-24,1,Lifeline2
COSTA DA GAMA/CAPRICORN/VRYGROND,7469.1,Nov-24,2,Small Power 1
MAGNOLIA 73 PROTEA PARK,759.5,Nov-24,1,Domestic
TIJGERHOF,2553.7,Nov-24,13,Lifeline1
78 JUNIPER ST,165.2,Nov-24,1,Domestic
MEERMIN 14,499.4,Nov-24,1,Domestic
51 NTYATAMBO STR,243.5,Nov-24,1,Domestic
ADENIUM 36 PROTEA PARK,188.3,Nov-24,1,Lifeline2
3 AGAPANTUS CLOSE,172.7,Nov-24,1,Domestic
16 ANGELIER CRES,188.3,Nov-24,1,Lifeline2
KLEINBOS,1051.8,Nov-24,5,Lifeline1
EDINBURGH 53 SAXONSEA,326.9,Nov-24,1,Lifeline2
WESTGATE,713.7,Nov-24,2,Small Power 2
GLENHAVEN,3629.2,Nov-24,11,Lifeline2
PALMER 25 AVONDALE,318.5,Nov-24,1,Lifeline2
KUSWEG 75,563,Nov-24,1,Home
CHRIS HANI,134.5,Nov-24,3,Domestic
94 MAKHOSI CRES,28.5,Nov-24,1,Domestic
CALVERN ESTATE,2428.9,Nov-24,6,Home
FAIRFIELD 7 SAXONSEA,24.7,Nov-24,1,Domestic
 ATHLONE ,709.3,Nov-24,1,Small Power 2
FUCHIA ST,70.5,Nov-24,1,Domestic
KABONKEL RD,260.7,Nov-24,1,Domestic
STEENBERG ,2029.5,Nov-24,5,Domestic
MITCHELLS PLAIN CBD,4021.1,Nov-24,2,Small Power 1
WINSOR ESTATE,2358.3,Nov-24,14,Lifeline1
SUNRAY,2014.2,Nov-24,10,Lifeline2
LOEVENSTEIN     BELLVILLE,6804.8,Nov-24,13,Home
MONTAGU'S GIFT,428,Nov-24,2,Small Power 2
OVERDALE STREET     PAROW,201,Nov-24,1,Domestic
LOOK SMART MGUDLE ST,283.6,Nov-24,1,Domestic
6 MAYFIELD VILLAGE,121.2,Nov-24,1,Home
BLAAUWBERGSTRAND,7711,Nov-24,10,Small Power 2
TABLE VIEW,634.4,Nov-24,3,Lifeline2
PROTEAHOOGTE,2271.7,Nov-24,9,Lifeline2
GRAANENDAL,1489.8,Nov-24,6,Domestic
"STELLENDALE VILLAGE, STELLENDALE",1246.8,Nov-24,4,Domestic
SALT RIVER ,157.5,Nov-24,1,Domestic
ARISTEA VILLAGE,3948.9,Nov-24,10,Home
BIGNONIA 75 PROTEA PARK,303.3,Nov-24,1,Domestic
COLORADO PARK ,2600.5,Nov-24,6,Home
FIGILNATE 63 SAXONSEA,308.1,Nov-24,1,Lifeline2
HOSTEL TO HOME,272.2,Nov-24,3,Lifeline1
PASCALI STREET     DURBANVILLE,3483.5,Nov-24,10,Home
GORDONS BAY,3051.4,Nov-24,11,Lifeline2
HEATHFIELD 73 PROTEA PARK,230.3,Nov-24,1,Lifeline2
ROTTERDAM 86,345.8,Nov-24,1,Lifeline2
ROZETTA 36,318.5,Nov-24,1,Lifeline2
ROYAL ASCOT,1310.4,Nov-24,5,Lifeline2
PARKWOOD,8917.1,Nov-24,2,Small Power 1
ROTTERDAM 36,247.1,Nov-24,1,Lifeline2
KUSWEG,905.6,Nov-24,5,Domestic
PARKLAAN,561.7,Nov-24,3,Lifeline1
KUILSRIVIER SOUTH SMALLHOLDINGS,273.2,Nov-24,1,Domestic
PAROW VALLEY,1168.2,Nov-24,8,Lifeline1
MOUNTAINVIEW,2745.9,Nov-24,6,Home
ORANJEZICHT,14052.9,Nov-24,6,Small Power 1
UITZICHT TB,6927.8,Nov-24,12,Home
FORRIDAN ST,162,Nov-24,1,Domestic
NEPTUNE 52 AVONDALE,262.6,Nov-24,1,Lifeline2
ISLAND 36 AVONDALE,229.4,Nov-24,1,Lifeline1
BUFFELSNEK 15 SHERWOOD,554.8,Nov-24,1,Domestic
STRAND ,775,Nov-24,3,Lifeline2
VREDEKLOOF EAST,2557.4,Nov-24,4,Small Power 2
Nyanga,223.2,Nov-24,1,Lifeline1
NYANGA ,589.2,Nov-24,3,Lifeline2
VOORTREKKER ROAD     PAROW,2368,Nov-24,9,Domestic
BOTTLEBRUSH STREET 18,376.5,Nov-24,1,Domestic
GLEEMOOR,1843.2,Nov-24,6,Domestic
2 BOTHA STREET,415,Nov-24,1,Small Power 2
STABROEK 7 EXT13 SAXONSEA,247,Nov-24,1,Lifeline2
VAN RIEBEECKWEG,1766.1,Nov-24,7,Home
BEAVERHEAD 8 SHERWOOD,219.7,Nov-24,1,Lifeline2
ASANDA VILLAGE,586.3,Nov-24,3,Lifeline1
SILVER CITY,517.4,Nov-24,5,Lifeline1
BLOEMHOF STOCK,5560.4,Nov-24,13,Domestic
DESMOND TUTU,198.8,Nov-24,1,Lifeline1
ERF 9048     MFULENI,905.1,Nov-24,1,Domestic
CHURCH STREET,166.1,Nov-24,2,Small Power 2
HIGHBURY PARK,1079.4,Nov-24,6,Lifeline1
REV MARAWU ST,179.4,Nov-24,1,Lifeline1
EXT 23     BELHAR,1165.4,Nov-24,7,Lifeline1
CHRIS NISSANPARK,234.5,Nov-24,1,Domestic
ZINNIA 1 PROTEA PARK,394,Nov-24,1,Lifeline2
GROSVENOR 154 AVONDALE,275.7,Nov-24,1,Lifeline1
FAIRDALE,407.4,Nov-24,3,Lifeline1
PHILIPPI EAST,988.6,Nov-24,3,Domestic
HIGHLANDS VILLAGE,647,Nov-24,2,Lifeline2
FAIRFIELD ESTATE,1571.6,Nov-24,7,Lifeline1
ERF 16630,238.6,Nov-24,1,Lifeline2
GREEN POINT,2278.6,Nov-24,13,Lifeline1
WELCOME GLEN,2519.1,Nov-24,9,Domestic
ERF 7887     MFULENI,173.8,Nov-24,1,Lifeline2
TRAFALGAR 7 SAXONSEA,370.1,Nov-24,1,Domestic
HOOP 88 SAXONSEA,499,Nov-24,1,Lifeline2
UNIVERSITY ESTATE,3320.1,Nov-24,8,Home
PEERLESS PARK WEST ,1591.9,Nov-24,1,Small Power 2
LEEUBEKKIE ST  PHASE 3,337.4,Nov-24,1,Domestic
5 SIGUR CLOSE,259.6,Nov-24,1,Lifeline2
HIUS-IN-BOS,17393.5,Nov-24,15,Home
FIGELANTE 16 SAXONSEA,256.9,Nov-24,1,Lifeline1
ARDENNES  BEACONHILL,340.7,Nov-24,1,Lifeline2
ALBATROSS 8 ROBINVALE,261.6,Nov-24,1,Lifeline2
EDINBURGH 22 SAXONSEA,427.9,Nov-24,1,Domestic
HIGHLANDS VILLAGE,811,Nov-24,2,Home
VALLEYFIELD 5 EXT13 S/SEA,286.8,Nov-24,1,Lifeline2
WAVE CREST,622.4,Nov-24,3,Domestic
SACRAMENTO 93 EXT13 S/SEA,228,Nov-24,1,Lifeline2
DALIAH 38 PROTEA PARK,326.5,Nov-24,1,Domestic
LLANDUDNO,1058.3,Nov-24,4,Lifeline2
CROSSROADS,748.5,Nov-24,4,Home
ALBATROSS 24 ROBINVALE,196.5,Nov-24,1,Lifeline2
HEIDEVELDWEG,366.5,Nov-24,2,Lifeline2
HEATHFIELD 85 PROTEAPARK,194.4,Nov-24,1,Lifeline2
VANGUARD EST,2857.1,Nov-24,6,Home
MACASSAR ,234.3,Nov-24,1,Lifeline2
ALBATROSS 17 ROBINVALE,228,Nov-24,1,Lifeline2
THORN LANE 6,316.2,Nov-24,1,Lifeline2
ANDILE NDLENI,617.2,Nov-24,1,Lifeline2
MBOYA ST,704.8,Nov-24,4,Lifeline2
EXT.21     BELHAR,710,Nov-24,2,Domestic
HUMANSHOF,5663.7,Nov-24,8,Home
55 MERRIGOLD CRES,251.1,Nov-24,1,Lifeline2
56 SECOND AVENUE,386.6,Nov-24,1,Home
STARLING 20 ROBINVALE,175.5,Nov-24,1,Domestic
58 THIRD AVENUE,853.7,Nov-24,2,Domestic
RUGBY,18826.1,Nov-24,3,Small Power 1
CASTLEHILL 50 BEACONHILL,386.6,Nov-24,1,Domestic
GREENFIELD,498.5,Nov-24,3,Lifeline1
9 MQOKOTHO AVE,259.6,Nov-24,1,Lifeline2
MONTCLAIRE,542.1,Nov-24,3,Domestic
BERZELIA STREET 29,234.8,Nov-24,1,Lifeline1
17 LEEUBEKKIE CRES,238.5,Nov-24,1,Lifeline2
MORGENSTER,1226.5,Nov-24,7,Lifeline1
PATRYS 11 ROBINVALE,865.1,Nov-24,1,Domestic
STARNDFONTEIN,426,Nov-24,1,Domestic
CAMPS BAY / BAKOVEN,24214.9,Nov-24,6,Small Power 1
BIGNONIA 45 PROTEA PARK,1084.1,Nov-24,1,Domestic
SEA BREEZE,1313.4,Nov-24,6,Domestic
BIGNONIA 77 PROTEA PARK,184.6,Nov-24,1,Domestic
GOODWOOD ESTATE ,9609.8,Nov-24,1,Small Power 2
KALKSTEENFONTEIN,1036,Nov-24,4,Small Power 2
76 TYHALI RD,476.3,Nov-24,1,Lifeline2
PALM LANE,365,Nov-24,2,Lifeline1
OU PAARLWEG,70.4,Nov-24,1,Domestic
BONTEHEUWEL  ,761.4,Nov-24,3,Lifeline1
LAKEVIEW,1852.3,Nov-24,4,Home
BABBLERS 14 ROBINVALE,249.9,Nov-24,1,Domestic
LANGEBERG HEIGHTS,1795,Nov-24,3,Domestic
28 SOUTPANSBERG,206.9,Nov-24,1,Domestic
TALENI ST,236.9,Nov-24,1,Lifeline2
SAN MARINA,1189.8,Nov-24,3,Home
131 RYBURG RD,267.8,Nov-24,1,Lifeline2
139 RYBURG RD,215.3,Nov-24,1,Lifeline2
ERF 7639     MFULENI,389.6,Nov-24,1,Lifeline2
GARDENIA 61 PROTEA PARK,469.4,Nov-24,1,Lifeline2
ERF 50639,240.5,Nov-24,1,Lifeline2
ZONNEBLOEM,2827.2,Nov-24,9,Home
EDWARD 39 AVONDALE,479.8,Nov-24,1,Home
HILLVEIW,249.6,Nov-24,1,Domestic
ZONE 16,330.8,Nov-24,1,Lifeline2
VREDELUST KUILS RIVER,938.4,Nov-24,4,Domestic
JB MARKS,499.4,Nov-24,2,Lifeline2
32 SILIMELA ST,242.6,Nov-24,1,Lifeline2
DIDO 10 SAXONSEA,173.7,Nov-24,1,Lifeline2
VICTORIA STREET     VRIZJEE,218.1,Nov-24,1,Home
KORT STR 16,226.6,Nov-24,1,Lifeline2
KUSWEG 75,406.3,Nov-24,1,Domestic
LA MONTAGNE,7499.9,Nov-24,19,Home
DARTERS 6 ROBINVALE,200.6,Nov-24,1,Lifeline2
CRAVENBY,997.3,Nov-24,3,Domestic
LYSTER 82 ROBINVALE,226.6,Nov-24,1,Lifeline2
MALGAS 35 ROBINVALE,244.7,Nov-24,1,Lifeline2
CONRADIESTRAAT 14,251.5,Nov-24,2,Home
MATHERAN 29 SAXONSEA,189.9,Nov-24,1,Domestic
CIRCLE PARK,226.9,Nov-24,1,Domestic
MELIA 3 PROTEA PARK,385.4,Nov-24,1,Lifeline2
MEMENTO DRIVE     DURBANVILLE,3355.8,Nov-24,7,Home
MONTCLAIR,799.6,Nov-24,6,Lifeline1
MOSSIE 60 ROBINVALE,116.7,Nov-24,1,Domestic
N1 CITY,1188.7,Nov-24,6,Domestic
NERINA     DURBANVILLE,5591.7,Nov-24,11,Home
NOMZAMO,455.8,Nov-24,2,Home
BRACKENFELL CENTRAL,4791.5,Nov-24,4,Small Power 2
STELLENBERG     BELLVILLE,8046,Nov-24,14,Home
86 FIRST AVENUE,247.6,Nov-24,1,Home
BLACKDOWN 26 BEACONHIL,389.5,Nov-24,1,Domestic
SIR LOWRY'S PASS,4343.4,Nov-24,7,Home
BELLVILLE SOUTH INDUSTRIAL,2384.5,Nov-24,6,Home
BELLVILLE EXT.22,3685.5,Nov-24,7,Home
PRIMROSE PARK,1411.6,Nov-24,7,Lifeline1
SILESIA WAY 46,244.7,Nov-24,1,Lifeline2
RAVENSMEAD     TS 10/96,251,Nov-24,1,Lifeline2
REHOBOTH,616,Nov-24,1,Domestic
SHELLEY 69 AVONDALE,137.3,Nov-24,1,Lifeline1
EXT 4     MFULENI,318.1,Nov-24,3,Lifeline1
FRANCIS RD,550.9,Nov-24,2,Lifeline2
STEPHEN ROAD,587.8,Nov-24,1,Domestic
ERF 9028     MFULENI,183.7,Nov-24,1,Lifeline2
BEROMA CRESCENT 9     GLENHAVEN,383.8,Nov-24,1,Home
CURLEW 3 ROBINVALE,232.1,Nov-24,1,Lifeline2
FRANCIS RD,523.5,Nov-24,4,Lifeline1
HEATHFIELD 64 PROTEAPARK,292.9,Nov-24,1,Lifeline2
SUMMER GREENS,2206.9,Nov-24,7,Small Power 2
AND MJODO STR,625.6,Nov-24,4,Lifeline1
CHRISMAR     BELLVILLE,6550,Nov-24,13,Home
ERF 7793     MFULENI,183.3,Nov-24,1,Domestic
MXOLISI PHETANI,194.8,Nov-24,1,Home
SALT RIVER ,744.3,Nov-24,3,Home
LELIE AVE 4,215.2,Nov-24,1,Lifeline2
GAZONIA 54 PROTEA PARK,166.9,Nov-24,1,Lifeline2
BELGRAVIA,7475,Nov-24,1,Small Power 1
96 MERRIGOLD CRES,159.9,Nov-24,1,Domestic
PLATTEKLOOF,3930,Nov-24,5,Small Power 2
OAKDALE   ,1405.7,Nov-24,1,Home
DEERLODGE 69 SHERWOOD,296.3,Nov-24,1,Domestic
KEHRWEIDER 57 SAXONSEA,231.3,Nov-24,1,Lifeline1
COSMOS CLS 9 PROTEA PARK,355.9,Nov-24,1,Lifeline2
MELKBOSCH STRAND,1436.5,Nov-24,5,Lifeline1
OLIENHOUTSTRAAT,1591.7,Nov-24,7,Home
DISA 28 PROTEA PARK,256.5,Nov-24,1,Lifeline1
VILLAGE 4A-ERF 11625,301.5,Nov-24,1,Lifeline2
ERF 8158,252,Nov-24,1,Domestic
PROTEA WAY,353.8,Nov-24,1,Lifeline2
WINDSOR PARK ESTATE,1620.2,Nov-24,4,Lifeline1
PEARLMANSION 21,179.5,Nov-24,1,Lifeline2
MONTAGUE VILLAGE,662.8,Nov-24,2,Lifeline2
THORN LANE 55,190,Nov-24,1,Lifeline2
DELFT,1124.1,Nov-24,4,Domestic
FRESNAYE,1140,Nov-24,3,Lifeline2
ERF 7628     MFULENI,730.4,Nov-24,1,Domestic
MARINERSWEG,867.8,Nov-24,4,Domestic
MAGNET 24 SAXONSEA,443.6,Nov-24,1,Domestic
